,DRS Materials,Total Weight in Thousand Tonnes,Household Kerbside Recycling,Household Kerbside Residual,HWRCs Recycling,HWRCs Residual,Commercial Recycling,Commercial Residual,Litter Residual,Remains in Environment (leftover)
0,DRS Glass Bottles,95.2879048545,50.0133584256,8.834748462,7.6437515,1.13060133578,6.21661719419,1.66480806655,1.3795767056,18.4044431648
1,DRS Plastic Bottles,32.2296178139,15.6138981471,2.61924307344,1.653019,0.6396887112,0.349922521411,1.8035420721,1.4277014744,8.12260281427
2,DRS Ferrous Cans,3.61197954078,2.36135181339,0.67299995637,0.2500984,0.176786698368,0.713967581574,0.524106243174,0.3669513621,-1.45428251419
3,DRS Aluminium Cans,6.22011022218,3.96293098205,1.40966207078,0.1356456,0.24036787936,0.178491895393,0.246638232082,0.7399183203,-0.693544757787
4,DRS Beverage Cartons,2.8719688901,0.670586917541,1.6023808485,0.036783,0.0678457724,0.0924893370306,0.215808453072,0.0902339415,0.0958406200564
5,Total,140.221581321,72.6221262856,15.1390344111,9.7192975,2.25529039711,7.5514885296,4.45490306698,4.0043818039,24.4750593272
6,Percent Contribution,100.0,56.4495985493,11.7676589579,7.55486612851,1.75305026223,5.86981568494,3.46282190524,3.11262912324,19.0246050915
