,Authority,DRS Glass Bottles,DRS Plastic Bottles,DRS Ferrous Cans,DRS Aluminium Cans,DRS Beverage Cartons
0,Blaenau Gwent CBC,1137.12885,475.75935,71.82615,120.04212,22.04565
1,Bridgend CBC,2116.5408,329.7096,92.3652,137.952,33.365517
2,Caerphilly CBC,2850.724383,1192.704573,180.064517,300.9395096,55.267327
3,Cardiff County Council,5240.660139,2192.621409,331.023561,553.2354168,101.601291
4,Carmarthenshire County Council,2080.729131,870.548961,131.428169,219.6542072,40.339339
5,Ceredigion County Council,867.303996,362.868276,54.782804,91.5577952,16.814524
6,City  and County of Swansea ,3110.968029,2051.9088,196.502671,328.4123848,60.312701
7,Conwy CBC,2058.705,234.6212,71.996688,118.35072,27.835892
8,Denbighshire County Council,1554.261579,650.282049,98.174121,164.0771448,30.132651
9,Flintshire County Council,2474.8416,1116.48,74.502,132.176,33.814211
10,Gwynedd Council,2094.9918,773.3952,77.1048,75.704,17.82
11,Isle of Anglesey CC,1129.656,473.9328,40.343742,66.31848,13.940607
12,Merthyr Tydfil CBC,974.3512896,407.6554176,61.5443904,102.85834752,18.8898624
13,Monmouthshire CC,1732.833102,724.993962,109.453498,182.9282224,33.594638
14,Neath Port Talbot CBC,2071.74,533.76,105.11474,175.676912,32.26294
15,Newport City Council,2434.8192,944.6976,102.0672,194.28,35.151768
16,Pembrokeshire County Council,1532.6784,737.244021,111.302909,186.0191192,34.162279
17,Powys County Council,2383.55304,42.85138,103.7601381,173.41298328,31.8471711
18,Rhondda Cynon Taff CBC,4763.649,878.0728,192.10023,315.7812,23.89
19,Torfaen CBC,1372.7406,179.8786,69.5682,106.784,19.479129
20,Vale of Glamorgan Council,2008.83969,840.47139,126.88731,212.065128,38.94561
21,Wrexham CBC,1321.04583,552.70773,83.44317,139.457496,25.61127
