,Authority,DRS Glass Bottles,DRS Plastic Bottles,DRS Ferrous Cans,DRS Aluminium Cans,DRS Beverage Cartons
0,Blaenau Gwent CBC,34.23,1.264,0.0,0.0,0.0
1,Bridgend CBC,105.4125,0.6,0.0,55.73,0.0
2,Caerphilly CBC,24.81,0.0,0.0,0.0,0.0
3,Cardiff County Council,32.04,0.0,0.0,0.0,0.31
4,Carmarthenshire County Council,2797.65,339.59,52.88,13.22,0.0
5,Ceredigion County Council,1000.1025,58.07,14.26,14.42,0.03
6,City  and County of Swansea ,0.0,317.77,0.0,0.0,11.21
7,Conwy CBC,377.4975,170.2,53.48,13.37,0.0
8,Denbighshire County Council,73.8015,79.9,0.0,0.0,0.0
9,Flintshire County Council,310.08,31.46,38.0336,9.5084,4.796
10,Gwynedd Council,235.8825,25.46,0.0,0.0,1.82
11,Isle of Anglesey CC,168.637,94.97,5.816,1.454,1.71
12,Merthyr Tydfil CBC,94.89675,13.46,3.4208,0.8552,0.0
13,Monmouthshire CC,113.52,4.715,4.7,8.54,0.0
14,Neath Port Talbot CBC,159.615,38.43,0.0,0.0,0.18
15,Newport City Council,128.325,4.68,7.92,0.0,5.52
16,Pembrokeshire County Council,955.275,0.29,28.86,3.93,4.04
17,Powys County Council,555.85375,6.64,5.344,5.772,3.703
18,Rhondda Cynon Taff CBC,217.9575,268.095,28.376,7.094,0.0
19,Torfaen CBC,25.005,0.0,0.0,0.0,0.304
20,Vale of Glamorgan Council,42.69,179.145,0.0,0.0,0.0
21,Wrexham CBC,190.47,18.28,7.008,1.752,3.16
