,Authority,DRS Glass Bottles,DRS Plastic Bottles,DRS Ferrous Cans,DRS Aluminium Cans,DRS Beverage Cartons
0,Blaenau Gwent CBC,254.111376,75.33654912,19.35730776,40.5457122,46.088828
1,Bridgend CBC,402.71028,119.3917536,30.6770478,64.2559785,73.04059
2,Caerphilly CBC,522.756324,154.98187488,39.82173174,83.41038405,94.813647
3,Cardiff County Council,995.673816,295.18800192,75.84691716,158.8685427,180.587898
4,Carmarthenshire County Council,294.23124,87.2309088,22.4134974,46.9471905,53.36547
5,Ceredigion County Council,189.715308,56.24500896,14.45184258,30.27075135,34.409149
6,City  and County of Swansea ,469.493556,139.19103072,35.76436206,74.91183945,85.153243
7,Conwy CBC,391.055148,115.93634976,29.78920098,62.39629935,70.926669
8,Denbighshire County Council,249.678048,74.02219776,19.01959248,39.8383356,45.284744
9,Flintshire County Council,445.6557276,132.123815712,33.948480426,71.108303595,80.8297153
10,Gwynedd Council,400.720872,118.80195264,30.52550172,63.9385509,72.679766
11,Isle of Anglesey CC,313.498224,92.94300288,23.88118824,50.0214078,56.859972
12,Merthyr Tydfil CBC,214.01436,63.4489632,16.3028586,34.1478795,38.81633
13,Monmouthshire CC,116.663724,34.58736288,8.88703074,18.61472655,21.159597
14,Neath Port Talbot CBC,526.8096,156.183552,40.130496,84.05712,95.5488
15,Newport City Council,504.133776,149.46083712,38.40313176,80.4389922,91.436028
16,Pembrokeshire County Council,380.720304,112.87237248,29.00192904,60.7472838,69.052212
17,Powys County Council,389.0328144,115.336787328,29.635146744,62.07361818,70.5598732
18,Rhondda Cynon Taff CBC,625.466856,185.43252672,47.64585756,99.7987557,113.442518
19,Torfaen CBC,357.934116,106.11693792,27.26615766,57.11154645,64.919423
20,Vale of Glamorgan Council,281.70054,83.5159248,21.4589529,44.94780675,51.092745
21,Wrexham CBC,508.972452,150.89536224,38.77172502,81.21104565,92.313631
